"","n","a","b","t"
"78",1500,8,25,32.7007811069489
"79",1500,8,23,8.25005292892456
"80",1500,8,22,4.29800295829773
"81",1500,8,24,16.3437008857727
"82",1500,8,22,4.52928185462952
"83",1500,8,26,1.07128611803055
"84",1500,8,22,4.46085906028748
"85",1500,8,24,15.8282389640808
"86",1500,8,27,2.39474808375041
"87",1500,8,25,33.146605014801
"88",1500,8,20,1.31504702568054
"89",1500,8,17,0.43264102935791
"90",1500,8,14,0.3334059715271
"91",1500,8,14,0.334397077560425
"92",1500,8,28,4.36457903385162
"93",1500,8,20,1.33154702186584
"94",1500,8,26,1.07222778399785
"95",1500,8,27,2.18674926360448
"96",1500,8,21,2.23961496353149
"97",1500,8,23,8.36047220230103
"98",1500,8,25,32.0031499862671
"99",1500,8,25,34.9984018802643
"100",1500,8,23,7.96731495857239
"101",1500,8,27,2.29375301996867
"102",1500,8,22,4.22219705581665
"103",1500,8,24,19.8536369800568
"104",1500,8,25,31.9650421142578
"105",1500,8,21,2.34376001358032
"106",1500,8,21,2.32475399971008
"107",1500,8,21,2.27627992630005
"108",1500,8,28,4.15322558085124
"109",1500,8,25,32.1848211288452
"110",1500,8,20,1.32856798171997
"111",1500,8,17,0.533883810043335
"112",1500,8,25,31.3906919956207
"113",1500,8,23,7.94614887237549
"114",1500,8,25,32.8862719535828
"115",1500,8,28,4.17310820023219
"116",1500,8,23,8.02119517326355
"117",1500,8,27,2.24240268071493
"118",1500,8,22,4.45902895927429
"119",1500,8,17,0.456768989562988
"120",1500,8,17,0.443193912506104
"121",1500,8,28,4.34003738164902
"122",1500,8,25,38.2734260559082
"123",1500,8,14,0.971091985702515
"124",1500,8,23,11.6159570217133
"125",1500,8,21,2.42203211784363
"126",1500,8,27,2.2160454193751
"127",1500,8,14,0.303807973861694
"128",1500,8,21,2.31935906410217
"129",1500,8,17,0.440650939941406
"130",1500,8,20,1.28235602378845
"131",1500,8,26,1.03089778025945
"132",1500,8,26,1.03886880079905
"133",1500,8,28,4.50797559817632
"134",1500,8,27,2.13802440166473
"135",1500,8,17,0.461894989013672
"136",1500,8,26,1.11915538311005
"137",1500,8,14,0.322406053543091
"138",1500,8,17,0.449203968048096
"139",1500,8,28,4.38903688589732
"140",1500,8,28,4.43226199944814
"141",1500,8,27,2.16454018354416
"142",1500,8,27,2.57793604930242
"143",1500,8,20,1.37717413902283
"144",1500,8,23,8.58162498474121
"145",1500,8,25,34.4768970012665
"146",1500,8,21,2.40238690376282
"147",1500,8,17,0.444731950759888
"148",1500,8,14,0.343425989151001
"149",1500,8,20,1.33174204826355
"150",1500,8,20,1.34187698364258
"151",1500,8,27,2.68560525178909
"152",1500,8,26,1.05956420103709
"153",1500,8,20,1.85754609107971
"154",1500,8,20,1.78605008125305
"155",1500,8,26,1.1405837337176
"156",1500,8,22,4.32175707817078
"157",1500,8,26,1.16252893209457
"158",1500,8,20,1.33618998527527
"159",1500,8,28,4.30263270139694
"160",1500,8,28,4.44414170185725
"161",1500,8,24,16.2109000682831
"162",1500,8,14,0.33304500579834
"163",1500,8,23,8.39013481140137
"164",1500,8,20,1.33666110038757
"165",1500,8,26,1.06836406389872
"166",1500,8,26,1.19512825012207
"167",1500,8,14,0.41761302947998
"168",1500,8,24,19.157516002655
"169",1500,8,23,11.6635529994965
"170",1500,8,20,1.79275989532471
"171",1500,8,24,18.0773320198059
"172",1500,8,28,4.63983805179596
"173",1500,8,20,1.31358790397644
"174",1500,8,21,2.34990406036377
"175",1500,8,26,1.04897813399633
"176",1500,8,27,2.17772446870804
"177",1500,8,25,38.5924241542816
"178",1500,8,27,2.37094496488571
"179",1500,8,20,1.33083200454712
"180",1500,8,23,8.2059760093689
"181",1500,8,28,4.52092758417129
"182",1500,8,24,17.0158379077911
"183",1500,8,17,0.429726123809814
"184",1500,8,22,4.28373408317566
"185",1500,8,20,1.30052208900452
"186",1500,8,17,0.432204008102417
"187",1500,8,20,1.31710982322693
"188",1500,8,26,1.12160711685816
"189",1500,8,20,1.29912114143372
"190",1500,8,22,4.28932094573975
"191",1500,8,26,1.09753328164419
"192",1500,8,20,1.31759095191956
"193",1500,8,26,1.06572551727295
"194",1500,8,28,4.21418550014496
"195",1500,8,28,4.22814313173294
"196",1500,8,24,15.792986869812
"197",1500,8,22,4.30727696418762
"198",1500,8,28,4.56315576632818
"199",1500,8,21,2.35325407981873
"200",1500,8,21,2.31966781616211
"201",1500,8,26,1.11449778477351
"202",1500,8,25,31.7765789031982
"203",1500,8,26,1.05517728328705
"204",1500,8,22,4.32501196861267
"205",1500,8,28,4.60613720019658
